#(threads, time)
1,16515448
2,15611841
3,13470502
4,13388996
5,13648438
6,13509801
7,13628393
8,13412440
9,13862206
10,13791290
11,14011997
12,14338947
13,14076291
14,13776168
15,16164971
16,13823553
17,13720041
18,14267111
19,14112507
20,14012330
21,14520251
22,14406107
23,14439019
24,14592818
25,14135615
26,14470165
27,13877069
28,14498756
29,13843996
30,14585128
31,14167577
32,14452068
33,14202193
34,14562721
35,14505124
36,14445509
37,14229618
38,14881840
39,14149755
40,15136824
41,15474345
42,15552403
43,15088362
44,15321886
45,15385304
46,15328532
47,15547531
48,14721625
49,15182822
50,15155573
51,15452278
52,15283202
53,15328798
54,15279483
55,15450455
56,16065579
57,15751549
58,15841813
59,15535040
60,15743421
61,15513500
62,16067276
63,18532811
64,17536436
65,24512882
66,20300971
67,16074408
68,16082531
69,16320437
70,17014396
71,16158709
72,16505617
73,16410300
74,16514006
75,16192450
76,16776424
77,15824796
78,16576958
79,16151136
80,16968504
81,17124255
82,16761403
83,16695915
84,16312486
85,16665082
86,16135666
87,16835214
88,16350399
89,16315027
90,16691026
91,16276405
92,16752636
93,16585008
94,16642402
95,16587403
96,16554697
97,16808029
98,16296030
99,17125759
100,16890583
